dataset,split,style,model,layer,SB/SW,Silhouette,DBI,N,D
cifar10,train,aap,student,0,0.21797604502504347,-0.20153007079835036,9.744549206293886,2979,64
cifar10,train,aap,student_kd,0,0.20476938112251425,-0.05487229261738011,7.453609981563628,2979,64
cifar10,train,aap,student_rkd,0,0.18071156477967693,-0.05771610272175461,7.550097915946533,995,64
cifar10,train,aap,teacher,0,0.12840260009031076,-0.18657793534257291,10.339612109317255,3107,64
cifar10,train,aap,student,1,0.19963138259454186,-0.19392407791986788,9.89525602868732,2979,64
cifar10,train,aap,student_kd,1,0.20268907513182838,-0.02480852412129119,6.533612243904967,2979,64
cifar10,train,aap,student_rkd,1,0.18083150882524734,-0.032421584409029515,6.4633975285358956,995,64
cifar10,train,aap,teacher,1,0.12814353563333422,-0.14245561040609622,9.766968020233177,2979,128
cifar10,train,aap,student,2,0.12027892788330612,-0.14954669862941636,10.273574902467036,2979,128
cifar10,train,aap,student_kd,2,0.18422363674829118,0.014352490503631599,5.347379711334671,2979,128
cifar10,train,aap,student_rkd,2,0.15765502383542718,-0.005101548584125905,5.823607591758756,995,128
cifar10,train,aap,teacher,2,0.0894408679139783,-0.10093433336652383,10.27965628260714,2979,128
cifar10,train,aap,student,3,0.1177224467627224,-0.1349511827890468,10.0991346283387,2979,128
cifar10,train,aap,student_kd,3,0.20721265606340025,0.06012079063445019,4.2494638065889045,2979,128
cifar10,train,aap,student_rkd,3,0.16090270618167477,0.02854719116203714,4.923309965029866,995,128
cifar10,train,aap,teacher,3,0.05159239522582457,-0.06027687057971036,10.811549099124377,2979,256
cifar10,train,at,student,0,0.04449305167171408,-0.14742395914423162,13.326002540746554,2979,64
cifar10,train,at,student_kd,0,0.04535436925773166,-0.08271460175045664,10.188068971262286,2979,64
cifar10,train,at,student_rkd,0,0.0482265418698312,-0.08114095066408161,9.721451418197072,995,64
cifar10,train,at,teacher,0,0.04277601674755983,-0.11754000167047746,12.693295937510438,3107,64
cifar10,train,at,student,1,0.05718965905785724,-0.14973663027435544,12.14350260882151,2979,64
cifar10,train,at,student_kd,1,0.05088135809072359,-0.07150497223711622,9.94020517059163,2979,64
cifar10,train,at,student_rkd,1,0.0447231686024542,-0.06523120556265027,9.72629699736164,995,64
cifar10,train,at,teacher,1,0.055289000577860556,-0.16801753732642308,14.103958434395048,2979,16
cifar10,train,at,student,2,0.05555882675847329,-0.18216070077901117,12.78370266828495,2979,16
cifar10,train,at,student_kd,2,0.058042564652502904,-0.06918312759180749,10.037324202715109,2979,16
cifar10,train,at,student_rkd,2,0.04840846006346102,-0.08515781432023217,9.529201865712436,995,16
cifar10,train,at,teacher,2,0.054303833406608874,-0.14703819244660618,12.193662745647035,2979,16
cifar10,train,at,student,3,0.045074044043768066,-0.1808905809481199,16.46688923957016,2979,16
cifar10,train,at,student_kd,3,0.051101056621259806,-0.07912225351852771,11.520677534239239,2979,16
cifar10,train,at,student_rkd,3,0.04362218114126598,-0.08924159967606668,11.310148085754648,995,16
cifar10,train,at,teacher,3,0.06335136782853781,-0.1838300559999414,22.338112186133717,2979,4
cifar10,train,mhrp,student,0,0.22465725604930967,-0.2037863598806279,9.84642334275635,2979,64
cifar10,train,mhrp,student_kd,0,0.1944664687174139,-0.06699225983401964,7.647312508257296,2979,64
cifar10,train,mhrp,student_rkd,0,0.17345838076959874,-0.07319913047562528,7.710877942369111,995,64
cifar10,train,mhrp,teacher,0,0.13641951159782323,-0.17159415312714568,10.116805995761009,2979,64
cifar10,train,mhrp,student,1,0.20947168419578185,-0.20534167156459232,10.729869940282278,2979,64
cifar10,train,mhrp,student_kd,1,0.19533891316752194,-0.03162646846322615,6.2463483142628515,2979,64
cifar10,train,mhrp,student_rkd,1,0.17991224007239018,-0.044267726574992526,6.158020936844821,995,64
cifar10,train,mhrp,teacher,1,0.1301952360489557,-0.1454694824662572,9.810436184691735,2979,128
cifar10,train,mhrp,student,2,0.12138018897467906,-0.1483856049049897,10.205709860647222,2979,128
cifar10,train,mhrp,student_kd,2,0.19577320907019632,0.011368083831037075,5.129763589979563,2979,128
cifar10,train,mhrp,student_rkd,2,0.17354041904531708,-0.0075907168953411215,5.816027830816649,995,128
cifar10,train,mhrp,teacher,2,0.09646192357568463,-0.11288058426442722,10.334074634995973,2979,128
cifar10,train,mhrp,student,3,0.11855153251721302,-0.13505084175174262,10.155451454466219,2979,128
cifar10,train,mhrp,student_kd,3,0.2074032307480776,0.05183313989995156,4.27213968769667,2979,128
cifar10,train,mhrp,student_rkd,3,0.16499570050603496,0.02284628637894827,5.085268726647826,995,128
cifar10,train,mhrp,teacher,3,0.04888463444604588,-0.05732410563603442,10.724193106250222,2979,256
cifar10,valid,aap,student,0,0.026343407477790452,-0.10906769036040895,23.06899851810237,2997,64
cifar10,valid,aap,student_kd,0,0.1860268277848702,-0.06527938031357639,7.236873033841593,2997,64
cifar10,valid,aap,student_rkd,0,0.17134290017067158,-0.06342958482859114,7.4278110720568815,999,64
cifar10,valid,aap,teacher,0,0.015689093392745556,-0.11849628577251636,25.232666798376297,2997,64
cifar10,valid,aap,student,1,0.008540445622447837,-0.1331253841975289,36.962821640532006,2997,64
cifar10,valid,aap,student_kd,1,0.18902991904350774,-0.03567031883206576,6.632577638581246,2997,64
cifar10,valid,aap,student_rkd,1,0.17318028966352772,-0.03448752962989008,6.678112018200643,999,64
cifar10,valid,aap,teacher,1,0.004597906328527368,-0.13173977238271636,42.99109251330577,2997,128
cifar10,valid,aap,student,2,0.006723080289924935,-0.13791544612371784,40.6534005834019,2997,128
cifar10,valid,aap,student_kd,2,0.1772658862064411,0.0005532153152042823,5.478533605540517,2997,128
cifar10,valid,aap,student_rkd,2,0.15174707386842437,-0.012095725756486401,5.922292921793766,999,128
cifar10,valid,aap,teacher,2,0.0035938376213137213,-0.13668216389615434,44.147767621086416,2997,128
cifar10,valid,aap,student,3,0.005431660431361469,-0.14004079277670342,42.000982400029486,2997,128
cifar10,valid,aap,student_kd,3,0.18912635154621665,0.03652737513086885,4.664695169398812,2997,128
cifar10,valid,aap,student_rkd,3,0.14950287054164998,0.013989482620586156,5.321961029881446,999,128
cifar10,valid,aap,teacher,3,0.0024853483287539,-0.13999413170810432,42.41340543331113,2997,256
cifar10,valid,at,student,0,0.04282515488675442,-0.12663491352996542,10.99517966577147,2997,64
cifar10,valid,at,student_kd,0,0.04768743017255342,-0.06268388037428345,10.189310109983358,2997,64
cifar10,valid,at,student_rkd,0,0.04721794337086207,-0.08127156782274618,9.705627790511805,999,64
cifar10,valid,at,teacher,0,0.034560642924508105,-0.11817563854310219,12.490596293780692,2997,64
cifar10,valid,at,student,1,0.03789461956460801,-0.1326760500547849,12.490381484427962,2997,64
cifar10,valid,at,student_kd,1,0.05246832199881279,-0.0501868996543394,9.99420648884251,2997,64
cifar10,valid,at,student_rkd,1,0.044088223374399355,-0.06296745369563174,9.701587825047458,999,64
cifar10,valid,at,teacher,1,0.033655398193537404,-0.13220839404538084,13.355234494038072,2997,16
cifar10,valid,at,student,2,0.03383252752735805,-0.14286686523224562,13.238572855510316,2997,16
cifar10,valid,at,student_kd,2,0.048099167137763466,-0.07702283213100623,10.192554238901435,2997,16
cifar10,valid,at,student_rkd,2,0.049911490974217515,-0.07529127126186085,9.082080988743908,999,16
cifar10,valid,at,teacher,2,0.017433039235755763,-0.12250072518748775,19.30609900358275,2997,16
cifar10,valid,at,student,3,0.030433987479491824,-0.15552949235994168,13.613481279541409,2997,16
cifar10,valid,at,student_kd,3,0.04723164428346836,-0.08550428456585495,11.328219306194162,2997,16
cifar10,valid,at,student_rkd,3,0.04120387028712898,-0.08239812193105203,10.679028552176936,999,16
cifar10,valid,at,teacher,3,0.01629749213869775,-0.16479007101746349,30.221770544325267,2997,4
cifar10,valid,mhrp,student,0,0.0324432001460799,-0.10234513925190544,20.498407539017403,2997,64
cifar10,valid,mhrp,student_kd,0,0.16724289580460516,-0.08031557505809195,7.197134863693011,2997,64
cifar10,valid,mhrp,student_rkd,0,0.15517765335956202,-0.07804214422864954,7.613216802517795,999,64
cifar10,valid,mhrp,teacher,0,0.015415162378484774,-0.11809204873797645,23.89580292522418,2997,64
cifar10,valid,mhrp,student,1,0.010132876552260337,-0.12340998604617034,32.365153216598955,2997,64
cifar10,valid,mhrp,student_kd,1,0.17692319286375857,-0.04753784546307048,6.268883326612141,2997,64
cifar10,valid,mhrp,student_rkd,1,0.1672229753743954,-0.047960998962160516,6.480719235360193,999,64
cifar10,valid,mhrp,teacher,1,0.00413909928588679,-0.13179890480275974,43.32706305962283,2997,128
